#iter rows cols flops
75 1000 10000 2584.10
31 2500 10000 2647.54
15 5000 10000 2672.92
10 7500 10000 2681.29
8 10000 10000 2689.94
6 12500 10000 2695.80
5 15000 10000 2691.10
4 17500 10000 2725.35
4 20000 10000 2723.25
3 25000 10000 2682.74
1 50000 10000 2752.72
1 75000 10000 2749.34
1 100000 10000 2751.76
