#iter rows cols flops
15 1000 10000 613.45
6 2500 10000 595.61
1 5000 10000 529.44
1 7500 10000 516.45
1 10000 10000 531.35
1 12500 10000 518.07
1 15000 10000 526.30
1 17500 10000 519.30
1 20000 10000 520.00
1 25000 10000 508.23
1 50000 10000 497.33
1 75000 10000 502.28
1 100000 10000 507.54
