#iter rows cols flops
84 1000 10000 2866.79
33 2500 10000 2870.70
17 5000 10000 2848.61
11 7500 10000 2847.32
8 10000 10000 2853.09
6 12500 10000 2868.74
5 15000 10000 2838.41
4 17500 10000 2838.25
4 20000 10000 2843.41
3 25000 10000 2900.69
1 50000 10000 2834.65
1 75000 10000 2834.76
1 100000 10000 2832.94
