#iter rows cols flops
83 1000 10000 2848.03
34 2500 10000 2930.49
17 5000 10000 2973.66
11 7500 10000 3000.31
8 10000 10000 3012.11
7 12500 10000 3007.06
6 15000 10000 3006.79
5 17500 10000 3007.96
4 20000 10000 3002.62
3 25000 10000 3016.46
1 50000 10000 3083.74
1 75000 10000 3091.74
1 100000 10000 3094.16
