#iter rows cols flops
16 1000 10000 530.54
6 2500 10000 531.03
3 5000 10000 529.60
1 7500 10000 521.88
1 10000 10000 520.72
1 12500 10000 519.52
1 15000 10000 524.82
1 17500 10000 521.50
1 20000 10000 519.97
1 25000 10000 530.73
1 50000 10000 520.27
1 75000 10000 519.26
1 100000 10000 520.81
