#iter rows cols flops
95 1000 10000 3325.02
38 2500 10000 3329.08
19 5000 10000 3319.21
13 7500 10000 3341.47
9 10000 10000 3340.06
7 12500 10000 3311.36
6 15000 10000 3319.36
5 17500 10000 3315.75
4 20000 10000 3318.17
3 25000 10000 3328.86
1 50000 10000 3291.32
1 75000 10000 3290.33
1 100000 10000 3312.91
