#iter rows cols flops
115 1000 10000 4100.24
55 2500 10000 4778.34
29 5000 10000 5014.91
19 7500 10000 4982.26
15 10000 10000 5084.98
11 12500 10000 5093.14
10 15000 10000 5184.33
8 17500 10000 5152.22
7 20000 10000 5263.62
6 25000 10000 5034.94
3 50000 10000 5132.45
1 75000 10000 5239.91
1 100000 10000 5467.27
