#iter rows cols flops
128 1000 10000 4674.37
65 2500 10000 2912.33
32 5000 10000 4807.88
21 7500 10000 4765.13
16 10000 10000 4846.37
13 12500 10000 4707.59
11 15000 10000 4842.84
9 17500 10000 4799.04
8 20000 10000 5071.80
6 25000 10000 4675.65
3 50000 10000 4643.28
1 75000 10000 4610.78
1 100000 10000 4778.98
