#iter rows cols flops
88 1000 10000 2822.01
38 2500 10000 2260.07
13 5000 10000 2341.66
12 7500 10000 1835.42
9 10000 10000 2285.97
7 12500 10000 2325.20
6 15000 10000 2296.43
5 17500 10000 2110.78
4 20000 10000 2167.71
3 25000 10000 2006.26
1 50000 10000 2057.28
1 75000 10000 2150.08
1 100000 10000 2184.05
