#iter rows cols flops
89 1000 10000 2833.44
37 2500 10000 2262.22
18 5000 10000 2178.42
12 7500 10000 2212.96
9 10000 10000 2224.71
7 12500 10000 2207.71
6 15000 10000 2215.15
5 17500 10000 2245.03
4 20000 10000 2246.30
3 25000 10000 2193.39
1 50000 10000 2208.58
1 75000 10000 2216.12
1 100000 10000 2220.11
